symbol,timeframe,fold,train_start,train_end,test_start,test_end,selection_objective,train_breakout_window,train_rsi_min,train_filter_name,train_tp_rate,train_sl_rate,train_lookahead_steps,train_reward_risk,train_signal_count,train_trade_count,train_total_pnl,train_avg_pnl,train_win_rate,train_gross_profit,train_gross_loss,train_profit_factor,train_final_equity,train_total_return,train_take_profit_count,train_stop_loss_count,train_time_exit_count,test_breakout_window,test_rsi_min,test_filter_name,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,total_pnl,72,65.0,volume_zscore_24 > 0,0.035,0.015,48,2.3333333333333335,90,26,186.47118797142298,7.171968768131653,50.0,307.898526609163,121.42733863774004,2.5356606680455327,10186.47118797142,1.8647118797141957,6,4,16,72,65.0,volume_zscore_24 > 0,0.035,0.015,48,2.3333333333333335,12,5,-28.672749609014772,-5.734549921802954,40.0,5.490737589331729,34.1634871983465,0.16071947097945782,9971.327250390985,-0.2867274960901523,0,2,3
SOLUSDT,5m,2,2025-11-28 06:35:00+00:00,2025-12-15 15:10:00+00:00,2025-12-15 15:15:00+00:00,2025-12-19 02:30:00+00:00,total_pnl,48,65.0,volume_zscore_24 > 0,0.03,0.015,48,2.0,107,33,151.42702345884356,4.588697680571017,48.484848484848484,310.8510600658193,159.42403660697573,1.9498380964481095,10151.42702345884,1.5142702345884027,7,8,18,48,65.0,volume_zscore_24 > 0,0.03,0.015,48,2.0,19,5,49.444381002219416,9.888876200443883,60.0,66.58887162744463,17.144490625225217,3.8839807541129496,10049.444381002219,0.49444381002218507,2,1,2
SOLUSDT,5m,3,2025-12-01 17:55:00+00:00,2025-12-19 02:30:00+00:00,2025-12-19 02:35:00+00:00,2025-12-22 13:50:00+00:00,total_pnl,48,65.0,volume_zscore_24 > 0,0.03,0.015,48,2.0,114,33,208.8393783442691,6.328466010432397,54.54545454545454,355.474146956454,146.63476861218487,2.424214600130758,10208.839378344266,2.088393783442662,9,8,16,48,65.0,volume_zscore_24 > 0,0.03,0.015,48,2.0,14,7,-44.24533763457566,-6.320762519225094,14.285714285714285,9.809100494367499,54.05443812894316,0.18146706975232194,9955.754662365425,-0.44245337634574755,0,1,6
SOLUSDT,5m,4,2025-12-05 05:15:00+00:00,2025-12-22 13:50:00+00:00,2025-12-22 13:55:00+00:00,2025-12-26 01:10:00+00:00,total_pnl,24,65.0,volume_zscore_24 > 0,0.03,0.015,72,2.0,142,39,148.42153617059694,3.805680414630691,56.41025641025641,320.0277845253697,171.6062483547728,1.864895874092856,10148.421536170596,1.4842153617059557,6,9,24,24,65.0,volume_zscore_24 > 0,0.03,0.015,72,2.0,17,6,-24.52056088695258,-4.08676014782543,50.0,13.664193303208208,38.18475419016079,0.35784421277560857,9975.479439113047,-0.24520560886952808,0,2,4
SOLUSDT,5m,9,2025-12-22 13:55:00+00:00,2026-01-08 22:30:00+00:00,2026-01-08 22:35:00+00:00,2026-01-12 09:50:00+00:00,total_pnl,24,0.0,none,0.025,0.015,96,1.6666666666666667,200,42,124.73545426544285,2.96989176822483,57.14285714285714,275.54273758505747,150.8072833196146,1.8271182367305416,10124.73545426544,1.2473545426543933,7,5,30,24,0.0,none,0.025,0.015,96,1.6666666666666667,41,9,-22.612117751193523,-2.5124575279103913,22.22222222222222,47.54073799999992,70.15285575119344,0.6776735956211042,9977.387882248808,-0.22612117751192273,2,4,3
SOLUSDT,5m,10,2025-12-26 01:15:00+00:00,2026-01-12 09:50:00+00:00,2026-01-12 09:55:00+00:00,2026-01-15 21:10:00+00:00,total_pnl,48,0.0,volume_zscore_24 > 0,0.025,0.015,72,1.6666666666666667,125,36,125.81243308388878,3.4947898078857995,58.333333333333336,253.43556994150288,127.6231368576141,1.9858121041504764,10125.812433083885,1.2581243308388548,7,5,24,48,0.0,volume_zscore_24 > 0,0.025,0.015,72,1.6666666666666667,29,6,23.354144667655078,3.8923574446091798,50.0,47.423692587356754,24.069547919701677,1.9702776614486797,10023.354144667654,0.23354144667653598,1,1,4
SOLUSDT,5m,11,2025-12-29 12:35:00+00:00,2026-01-15 21:10:00+00:00,2026-01-15 21:15:00+00:00,2026-01-19 08:30:00+00:00,total_pnl,24,0.0,volume_zscore_24 > 0,0.025,0.015,72,1.6666666666666667,174,44,163.4219965807,3.7141362859250004,56.81818181818182,350.5064912924214,187.0844947117214,1.873519726113685,10163.421996580699,1.6342199658069874,10,8,26,24,0.0,volume_zscore_24 > 0,0.025,0.015,72,1.6666666666666667,32,10,-45.16160354433657,-4.516160354433657,20.0,11.977300063184089,57.13890360752066,0.2096172538670768,9954.838396455661,-0.451616035443385,0,2,8
SOLUSDT,5m,12,2026-01-01 23:55:00+00:00,2026-01-19 08:30:00+00:00,2026-01-19 08:35:00+00:00,2026-01-22 19:50:00+00:00,total_pnl,24,0.0,volume_zscore_24 > 0,0.025,0.015,72,1.6666666666666667,175,46,137.90815834470868,2.998003442276276,50.0,339.78011171305764,201.87195336834895,1.6831466979123757,10137.90815834471,1.379081583447096,10,9,27,24,0.0,volume_zscore_24 > 0,0.025,0.015,72,1.6666666666666667,38,10,-28.62206454782688,-2.862206454782688,40.0,43.253032970856,71.87509751868288,0.6017805118053997,9971.377935452172,-0.286220645478279,1,4,5
SOLUSDT,5m,23,2026-02-09 04:35:00+00:00,2026-02-26 13:10:00+00:00,2026-02-26 13:15:00+00:00,2026-03-02 00:30:00+00:00,total_pnl,96,0.0,none,0.03,0.01,72,3.0,86,25,138.467108350726,5.53868433402904,56.00000000000001,252.67177232812685,114.20466397740086,2.212447053634572,10138.467108350722,1.384671083507219,6,10,9,96,0.0,none,0.03,0.01,72,3.0,16,5,28.56728348548495,5.71345669709699,40.0,57.5287416000001,28.961458114515153,1.98638968288573,10028.567283485483,0.2856728348548313,2,2,1
SOLUSDT,5m,24,2026-02-12 15:55:00+00:00,2026-03-02 00:30:00+00:00,2026-03-02 00:35:00+00:00,2026-03-05 11:50:00+00:00,total_pnl,72,60.0,volume_zscore_24 > 0,0.03,0.01,72,3.0,96,28,219.94179737975549,7.855064192134124,60.71428571428571,326.3455278090174,106.40373042926194,3.067049684183531,10219.94179737975,2.1994179737974995,7,9,12,72,60.0,volume_zscore_24 > 0,0.03,0.01,72,3.0,25,8,-3.7265403184209163,-0.46581753980261453,25.0,57.528741599999876,61.25528191842079,0.9391637716501919,9996.273459681577,-0.03726540318422849,2,5,1
SOLUSDT,5m,25,2026-02-16 03:15:00+00:00,2026-03-05 11:50:00+00:00,2026-03-05 11:55:00+00:00,2026-03-08 23:10:00+00:00,total_pnl,72,60.0,volume_zscore_24 > 0,0.03,0.01,72,3.0,98,30,153.40868929698695,5.113622976566232,46.666666666666664,309.8800580446698,156.47136874768285,1.9804265823504452,10153.408689296979,1.53408689296979,8,13,9,72,60.0,volume_zscore_24 > 0,0.03,0.01,72,3.0,5,3,-33.562930800000004,-11.187643600000001,0.0,0.0,33.562930800000004,0.0,9966.4370692,-0.33562930800000684,0,3,0
SOLUSDT,5m,26,2026-02-19 14:35:00+00:00,2026-03-08 23:10:00+00:00,2026-03-08 23:15:00+00:00,2026-03-12 10:30:00+00:00,total_pnl,96,65.0,volume_zscore_24 > 0,0.025,0.01,72,2.5,71,24,160.32279393561328,6.680116413983886,54.166666666666664,269.9259852275296,109.60319129191635,2.4627566227393025,10160.322793935611,1.603227939356111,10,9,5,96,65.0,volume_zscore_24 > 0,0.025,0.01,72,2.5,14,7,-34.38967629788692,-4.9128108996981315,28.57142857142857,21.548541702113084,55.938218000000006,0.38522038192409136,9965.61032370211,-0.3438967629788931,0,5,2
SOLUSDT,5m,27,2026-02-23 01:55:00+00:00,2026-03-12 10:30:00+00:00,2026-03-12 10:35:00+00:00,2026-03-15 21:50:00+00:00,total_pnl,96,60.0,volume_zscore_24 > 0,0.025,0.01,72,2.5,80,28,106.8777786194214,3.817063522122193,46.42857142857143,270.0909599339367,163.21318131451528,1.6548354597259252,10106.877778619417,1.0687777861941685,10,14,4,96,60.0,volume_zscore_24 > 0,0.025,0.01,72,2.5,18,7,30.25264036477006,4.321805766395722,57.14285714285714,63.815571164769835,33.562930799999776,1.9013706384893616,10030.25264036477,0.3025264036476983,2,3,2
SOLUSDT,5m,36,2026-03-26 07:55:00+00:00,2026-04-12 16:30:00+00:00,2026-04-12 16:35:00+00:00,2026-04-16 03:50:00+00:00,total_pnl,24,0.0,atr_14 > q75,0.025,0.012,72,2.0833333333333335,55,20,110.51260037415454,5.525630018707727,55.00000000000001,192.58113697620126,82.06853660204672,2.3465891430480124,10110.51260037415,1.1051260037414978,7,5,8,24,0.0,atr_14 > q75,0.025,0.012,72,2.0833333333333335,12,5,-27.0718745743751,-5.414374914875021,40.0,12.483858385625126,39.55573296000023,0.315601745978241,9972.928125425624,-0.27071874574376126,0,3,2
SOLUSDT,5m,37,2026-03-29 19:15:00+00:00,2026-04-16 03:50:00+00:00,2026-04-16 03:55:00+00:00,2026-04-19 15:10:00+00:00,total_pnl,24,0.0,atr_14 > q75,0.025,0.015,72,1.6666666666666667,62,20,132.5285087534097,6.626425437670486,65.0,207.27579242757133,74.74728367416162,2.7730210683123686,10132.528508753408,1.3252850875340847,7,4,9,24,0.0,atr_14 > q75,0.025,0.015,72,1.6666666666666667,17,5,0.3589849740067166,0.07179699480134331,40.0,26.28290513244724,25.923920158440524,1.0138476346097616,10000.358984974007,0.0035898497400739873,1,1,3
SOLUSDT,5m,38,2026-04-02 06:35:00+00:00,2026-04-19 15:10:00+00:00,2026-04-19 15:15:00+00:00,2026-04-23 02:30:00+00:00,total_pnl,24,60.0,atr_14 > q75 AND volume_zscore_24 > 0,0.025,0.015,48,1.6666666666666667,57,20,104.68617316859684,5.234308658429842,55.00000000000001,188.15877166842597,83.47259849982913,2.254138184865673,10104.686173168595,1.0468617316859492,6,4,10,24,60.0,atr_14 > q75 AND volume_zscore_24 > 0,0.025,0.015,48,1.6666666666666667,7,3,-11.1855124773856,-3.7285041591285335,33.33333333333333,10.63748312507198,21.82299560245758,0.4874437643141003,9988.814487522615,-0.1118551247738469,0,1,2
SOLUSDT,5m,39,2026-04-05 17:55:00+00:00,2026-04-23 02:30:00+00:00,2026-04-23 02:35:00+00:00,2026-04-26 13:50:00+00:00,total_pnl,48,60.0,volume_zscore_24 > 0,0.025,0.015,72,1.6666666666666667,106,31,145.03811165966783,4.678648763215091,61.29032258064516,250.40995971502855,105.37184805536072,2.3764408078281694,10145.038111659667,1.4503811165966727,8,4,19,48,60.0,volume_zscore_24 > 0,0.025,0.015,72,1.6666666666666667,20,6,-24.243464823138765,-4.040577470523128,33.33333333333333,5.625862641405433,29.8693274645442,0.18834915677574274,9975.75653517686,-0.24243464823139219,0,1,5
