symbol,timeframe,feature,condition,tp_rate,sl_rate,lookahead_steps,condition_rate_pct,entry_count,tp_count,sl_count,time_exit_count,tp_rate_pct,sl_rate_pct,time_exit_rate_pct,avg_gross_return,avg_net_return,trade_count,total_pnl,avg_pnl,win_rate,profit_factor,final_equity,total_return,sim_tp_count,sim_sl_count,sim_time_exit_count
BTCUSDT,5m,atr_14,atr_14 > q75 (0.00237931),0.01,0.008,24,25.0,12893,3469,4340,5084,26.90607306290235,33.66167687892655,39.43225005817111,0.0003589059148488915,0.0003589059148488915,1170,378.96232837056846,0.32389942595775084,50.17094017094017,1.098644372225564,10378.962328370582,3.789623283705823,345,419,406
BTCUSDT,5m,rolling_std_24,rolling_std_24 > q75 (0.00158518),0.01,0.008,24,25.0,12893,3274,4215,5404,25.393624447374545,32.69215853563949,41.91421701698596,0.0002711201152439519,0.0002711201152439519,1083,298.7416337931983,0.27584638392723754,50.13850415512465,1.0827300218347016,10298.741633793205,2.987416337932045,321,404,358
BTCUSDT,5m,rsi_14,0 <= rsi_14 < 35,0.01,0.008,24,17.93802838749709,9251,1175,2061,6015,12.701329585990702,22.278672575937737,65.01999783807156,0.00012602070662263572,0.00012602070662263572,1376,204.01310951182484,0.148265341214989,51.81686046511628,1.0612915478595175,10204.013109511823,2.040131095118231,211,324,841
BTCUSDT,5m,sma_30_slope,sma_30_slope <= q25 (-0.000113364),0.01,0.008,24,25.0,12893,1964,3310,7619,15.23307220972621,25.672845730241217,59.09408206003257,0.00012043654630776293,0.00012043654630776293,1249,10.67495573987378,0.008546802033525844,51.561248999199364,1.0030831034412253,10010.674955739862,0.10674955739861616,220,356,673
BTCUSDT,5m,rsi_14,55 <= rsi_14 < 65,0.01,0.008,24,20.412239199565658,10527,1376,1742,7409,13.07115037522561,16.54792438491498,70.38092523985941,0.00010266241261631297,0.00010266241261631297,1637,296.9977150948695,0.18142804831696363,50.09163103237629,1.082496459544033,10296.997715094847,2.9699771509484707,235,313,1089
BTCUSDT,5m,macd_hist,macd_hist > q75 (17.5755),0.01,0.008,24,25.0,12893,2130,2823,7940,16.520592569611416,21.89560226479485,61.58380516559373,8.99785395310587e-05,8.99785395310587e-05,1381,2.0998021891684857,0.0015204939820191786,48.29833454018827,1.0005869497845452,10002.099802189143,0.020998021891427923,231,341,809
BTCUSDT,5m,macd_hist,macd_hist <= q25 (-17.2593),0.01,0.008,24,25.0,12893,2023,3130,7740,15.690684867757698,24.276739315907857,60.03257581633444,8.036169534617502e-05,8.036169534617502e-05,1499,100.20575078310583,0.06684839945504058,50.900600400266846,1.025468237548669,10100.205750783081,1.0020575078308138,262,392,845
BTCUSDT,5m,rsi_14,rsi_14 <= q25 (38.9255),0.01,0.008,24,25.0,12892,1562,2784,8546,12.1160409556314,21.594787465094633,66.28917157927397,6.635673304167047e-05,6.635673304167047e-05,1577,77.655817021085,0.04924275017189918,50.602409638554214,1.0203675966530596,10077.655817021076,0.7765581702107557,231,365,981
BTCUSDT,5m,rsi_14,"q50 < rsi_14 <= q75 (50.1383,61.4036)",0.01,0.008,24,25.0,12893,1593,2161,9139,12.355541766850228,16.761033118746607,70.88342511440317,6.314416432099829e-05,6.314416432099829e-05,1764,159.73390892392842,0.09055210256458528,49.82993197278912,1.0411669586505228,10159.733908923929,1.5973390892392854,239,331,1194
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 > q75 (0.262543),0.01,0.008,24,25.0,12893,1842,2713,8338,14.286822306678044,21.04242612270224,64.67075157061971,3.651629438583701e-05,3.651629438583701e-05,2162,244.46308403807075,0.11307265681686898,50.55504162812211,1.0468437785445313,10244.463084038036,2.4446308403803596,339,483,1340
BTCUSDT,5m,sma_30_slope,sma_30_slope <= 0,0.01,0.008,24,49.76343752423796,25663,2994,5145,17524,11.66660172232397,20.04831859096754,68.2850796867085,2.9041936030828197e-05,2.9041936030828197e-05,1882,119.27189826082065,0.0633750787783319,51.434643995749205,1.02591665016548,10119.271898260815,1.1927189826081486,295,447,1140
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 > 0,0.01,0.008,24,33.04118513922283,17040,2357,3533,11150,13.832159624413146,20.73356807511737,65.43427230046949,1.9602893382429212e-05,1.9602893382429212e-05,2326,24.394263074495257,0.010487645345870704,49.957007738607054,1.0041961534209207,10024.394263074453,0.24394263074453193,368,540,1418
BTCUSDT,5m,rsi_14,"q25 < rsi_14 <= q50 (38.9255,50.1383)",0.01,0.008,24,25.0,12893,1467,2346,9080,11.378267276816878,18.195920266811445,70.42581245637167,1.714205911047643e-05,1.714205911047643e-05,1797,-41.6399184804726,-0.023171907891192323,49.638286032276014,0.9900171547069686,9958.360081519491,-0.4163991848050864,240,376,1181
BTCUSDT,5m,macd_hist,macd_hist > 0,0.01,0.008,24,50.122159311254165,25849,3327,4637,17885,12.870904096870287,17.938798406127894,69.19029749700182,9.854545702652332e-06,9.854545702652332e-06,1937,-16.165635498154643,-0.008345707536476326,48.47702632937532,0.9964773493741563,9983.834364501845,-0.16165635498155098,291,409,1237
BTCUSDT,5m,atr_14,"q50 < atr_14 <= q75 (0.00161688,0.00237931)",0.01,0.008,24,25.0,12893,1764,2778,8351,13.681842860466919,21.54657566121151,64.77158147832156,2.4261117702620217e-06,2.4261117702620217e-06,994,-97.4480562409725,-0.09803627388427817,48.79275653923541,0.9618459683793161,9902.551943759032,-0.9744805624096807,135,228,631
BTCUSDT,5m,rsi_14,45 <= rsi_14 < 55,0.01,0.008,24,23.15597611106802,11942,1384,2098,8460,11.589348517836209,17.568246524870208,70.84240495729358,-1.755496891867877e-05,-1.755496891867877e-05,1762,-51.312542074115186,-0.029121760541495564,48.80817253121453,0.9872925044508286,9948.687457925887,-0.5131254207411258,235,351,1176
BTCUSDT,5m,volume_zscore_24,"q25 < volume_zscore_24 <= q50 (-0.667533,-0.337779)",0.01,0.008,24,25.0,12893,1446,2239,9208,11.215388195144651,17.366012564957728,71.41859923989762,-2.1649662448902745e-05,-2.1649662448902745e-05,2017,121.8404238899999,0.06040675453148235,50.371839365394145,1.026242095673477,10121.840423890015,1.218404238900148,287,411,1319
BTCUSDT,5m,rsi_14,35 <= rsi_14 < 45,0.01,0.008,24,20.189249980609635,10411,1139,1982,7290,10.940351551243877,19.0375564306983,70.02209201805782,-2.2035054429332953e-05,-2.2035054429332953e-05,1673,-38.61393391470813,-0.02308065386414114,50.627615062761514,0.989992338187091,9961.386066085275,-0.3861393391472484,223,351,1099
BTCUSDT,5m,volume_zscore_24,"q50 < volume_zscore_24 <= q75 (-0.337779,0.262543)",0.01,0.008,24,25.0,12892,1555,2375,8962,12.061743717033819,18.42227738132175,69.51597890164443,-2.760896785701805e-05,-2.760896785701805e-05,2196,7.0792325155218805,0.003223694223825993,48.63387978142077,1.0013552445990832,10007.079232515553,0.07079232515552576,335,465,1396
BTCUSDT,5m,rolling_std_24,"q50 < rolling_std_24 <= q75 (0.00106431,0.00158518)",0.01,0.008,24,25.0,12893,1788,2797,8308,13.867990382378034,21.693942449391145,64.43806716823083,-3.1110785214328825e-05,-3.1110785214328825e-05,938,-55.34198110943112,-0.058999979860800765,48.40085287846482,0.977696965959505,9944.658018890595,-0.5534198110940451,144,224,570
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 <= 0,0.01,0.008,24,66.95881486077717,34531,3999,6151,24381,11.58089832324578,17.812979641481565,70.60612203527266,-3.2643422645762625e-05,-3.2643422645762625e-05,2377,36.447687687032044,0.015333482409352985,50.48380311316786,1.0064477165818335,10036.447687687056,0.3644768768705581,350,504,1523
BTCUSDT,5m,atr_14,atr_14 <= q25 (0.00109257),0.01,0.008,24,25.0,12893,312,721,11860,2.4199177848444893,5.592181804079733,91.98790041107577,-3.787804845980732e-05,-3.787804845980732e-05,723,-63.0852812599328,-0.08725488417694717,50.345781466113415,0.9357917266136372,9936.91471874006,-0.6308528125994053,20,46,657
BTCUSDT,5m,macd_hist,macd_hist <= 0,0.01,0.008,24,49.877840688745835,25722,3029,5047,17646,11.775911670943163,19.62133582147578,68.60275250758106,-4.073971215348863e-05,-4.073971215348863e-05,2012,22.07286092123934,0.01097060681970146,50.44731610337973,1.0045414696488064,10022.072860921195,0.2207286092119466,291,450,1271
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 > 1,0.01,0.008,24,13.231986349181726,6824,984,1537,4303,14.419695193434936,22.523446658851114,63.056858147713946,-4.579390202045153e-05,-4.579390202045153e-05,1804,75.01783573361365,0.04158416614945324,49.94456762749446,1.0170862264411509,10075.017835733594,0.7501783573359353,267,403,1134
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 <= q25 (-0.667533),0.01,0.008,24,25.0,12893,1513,2357,9023,11.735050027146514,18.281237881020708,69.98371209183277,-4.877975615405756e-05,-4.877975615405756e-05,1789,-14.692367031497838,-0.0082126143272766,50.13974287311347,0.9965020605905075,9985.307632968488,-0.14692367031511822,248,371,1170
BTCUSDT,5m,sma_30_slope,"q50 < sma_30_slope <= q75 (9.01547e-07,0.000109965)",0.01,0.008,24,25.0,12893,1065,1627,10201,8.260296284805708,12.619250756224307,79.12045295896999,-5.604242117371106e-05,-5.604242117371106e-05,1410,81.40312889889117,0.057732715531128485,50.070921985815595,1.026907596167251,10081.403128898872,0.8140312889887172,180,245,985
BTCUSDT,5m,rolling_std_24,rolling_std_24 <= q25 (0.000725503),0.01,0.008,24,25.0,12892,326,812,11754,2.5286999689730068,6.298479677319267,91.17282035370773,-5.7978182624147805e-05,-5.7978182624147805e-05,723,-83.39890708301175,-0.11535118545368153,50.62240663900415,0.9184819036699206,9916.601092916988,-0.8339890708301209,20,53,650
BTCUSDT,5m,sma_30_slope,sma_30_slope > q75 (0.000109965),0.01,0.008,24,25.0,12893,2291,2895,7707,17.769332195765145,22.454044830528193,59.77662297370666,-5.8526363391385574e-05,-5.8526363391385574e-05,1166,13.595223601443195,0.011659711493519034,46.22641509433962,1.0044245889020496,10013.595223601435,0.13595223601434553,226,267,673
BTCUSDT,5m,sma_30_slope,sma_30_slope > 0,0.01,0.008,24,50.236562475762035,25908,3362,4539,18007,12.976686737687201,17.519685039370078,69.50362822294271,-5.9382427377768674e-05,-5.9382427377768674e-05,1778,14.705088316820024,0.008270578355916774,48.25646794150732,1.003495948417472,10014.705088316789,0.14705088316788534,273,358,1147
BTCUSDT,5m,sma_30_slope,"q25 < sma_30_slope <= q50 (-0.000113364,9.01547e-07)",0.01,0.008,24,25.0,12892,1036,1852,10004,8.035991312441825,14.365497983245422,77.59851070431274,-6.739293952003311e-05,-6.739293952003311e-05,1431,72.88989291767496,0.0509363332758036,49.82529699510832,1.0239746961557719,10072.889892917654,0.7288989291765392,178,258,995
BTCUSDT,5m,macd_hist,"q50 < macd_hist <= q75 (0.0820285,17.5755)",0.01,0.008,24,25.0,12893,1190,1804,9899,9.229814628092765,13.992088730318777,76.77809664158846,-7.037567682691971e-05,-7.037567682691971e-05,1723,180.13510139097593,0.10454736006440855,49.56471271038886,1.0479999767205792,10180.135101390923,1.8013510139092253,236,318,1169
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 < -1,0.01,0.008,24,6.697432715426976,3454,432,651,2371,12.507237984944991,18.84771279675738,68.64504921829763,-9.055687057971822e-05,-9.055687057971822e-05,968,101.33586655683825,0.1046858125587172,49.48347107438016,1.0485954351009485,10101.335866556843,1.0133586655684304,128,173,667
BTCUSDT,5m,macd_hist,"q25 < macd_hist <= q50 (-17.2593,0.0820285)",0.01,0.008,24,25.0,12892,1013,1927,9952,7.857586099906919,14.947254111076635,77.19515978901644,-0.00016149703467940307,-0.00016149703467940307,1717,8.977209539369369,0.005228427221531374,50.669772859638904,1.0023510867807914,10008.977209539335,0.08977209539334581,208,333,1176
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 > 2,0.01,0.008,24,6.2766617544403935,3237,476,779,1982,14.704973741118318,24.065492740191534,61.22953351869015,-0.00016416982002993155,-0.00016416982002993155,1364,-138.89604748878435,-0.10182994683928472,49.34017595307918,0.958783320130598,9861.103952511192,-1.388960474888081,192,308,864
BTCUSDT,5m,rsi_14,rsi_14 > q75 (61.4036),0.01,0.008,24,25.0,12893,1734,2393,8766,13.449158458078026,18.56045916388738,67.9903823780346,-0.00020815776042964687,-0.00020815776042964687,1482,-65.24242253176317,-0.044023227079462324,47.233468286099864,0.9812342970936523,9934.757577468234,-0.6524242253176635,214,286,982
BTCUSDT,5m,rolling_std_24,"q25 < rolling_std_24 <= q50 (0.000725503,0.00106431)",0.01,0.008,24,25.0,12893,968,1860,10065,7.507950050414953,14.426432948111378,78.06561700147367,-0.00024355559496051917,-0.00024355559496051917,914,-196.69683704114993,-0.21520441689403713,49.45295404814004,0.8951378339656392,9803.303162958859,-1.9669683704114143,76,136,702
BTCUSDT,5m,rsi_14,65 <= rsi_14 < 100,0.01,0.008,24,18.3045063212596,9440,1282,1801,6357,13.580508474576272,19.078389830508474,67.34110169491525,-0.0002754950326516334,-0.0002754950326516334,1288,-165.36861438277333,-0.12839178135308488,45.962732919254655,0.9468593355887085,9834.631385617227,-1.6536861438277266,192,258,838
BTCUSDT,5m,atr_14,"q25 < atr_14 <= q50 (0.00109257,0.00161688)",0.01,0.008,24,25.0,12892,811,1845,10236,6.290722928948185,14.311200744647842,79.39807632640398,-0.0003850037903004324,-0.0003850037903004324,911,-241.15286576223127,-0.26471225659959524,48.40834248079034,0.8701288395222823,9758.847134237769,-2.411528657622312,63,130,718
