symbol,timeframe,model_name,fold,top_quantile,prediction_threshold,train_rows,test_rows,train_start,train_end,test_start,test_end,mae,rmse,corr,top_count,top_avg_actual_return,top_win_rate,top_avg_predicted_return,trade_count,total_pnl,avg_pnl,win_rate,final_equity,total_return
BTCUSDT,5m,RandomForestRegressor,1,0.8,5.156903958618054e-05,5000,1000,2025-11-18 01:55:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-08 21:50:00+00:00,0.0015695099882019749,0.002380092961500228,-0.07999969921335918,132,-9.433541838307776e-05,49.24242424242424,0.0004588090132096321,24,-18.151974014758594,-0.7563322506149414,37.5,9981.84802598524,-0.18151974014759617
BTCUSDT,5m,RandomForestRegressor,1,0.9,0.0001436422131263145,5000,1000,2025-11-18 01:55:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-08 21:50:00+00:00,0.0015695099882019749,0.002380092961500228,-0.07999969921335918,83,-0.00025150210590658344,46.98795180722892,0.0006796945719722037,17,19.25541077229434,1.132671221899667,47.05882352941176,10019.255410772294,0.19255410772293544
BTCUSDT,5m,RandomForestRegressor,1,0.95,0.00041147328089079915,5000,1000,2025-11-18 01:55:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-08 21:50:00+00:00,0.0015695099882019749,0.002380092961500228,-0.07999969921335918,55,-0.0006070279523674889,50.90909090909091,0.000909063353013879,13,-9.592711780628747,-0.7379009062022113,46.15384615384615,9990.40728821937,-0.09592711780629543
BTCUSDT,5m,RandomForestRegressor,2,0.8,0.00011832121685104322,5000,1000,2025-11-21 13:15:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-12 09:10:00+00:00,0.0017996834408578126,0.0026695688566178238,0.004167497274572578,257,0.00016671414810005825,56.42023346303502,0.00047045387026931675,36,-23.7369915227182,-0.659360875631061,44.44444444444444,9976.263008477279,-0.2373699152272093
BTCUSDT,5m,RandomForestRegressor,2,0.9,0.0003097976586860172,5000,1000,2025-11-21 13:15:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-12 09:10:00+00:00,0.0017996834408578126,0.0026695688566178238,0.004167497274572578,156,0.0003067037452797196,57.05128205128205,0.0006340652086689604,25,-13.183269739116895,-0.5273307895646758,36.0,9986.81673026088,-0.13183269739120076
BTCUSDT,5m,RandomForestRegressor,2,0.95,0.0005292132426051823,5000,1000,2025-11-21 13:15:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-12 09:10:00+00:00,0.0017996834408578126,0.0026695688566178238,0.004167497274572578,87,0.0007558507678665538,60.91954022988506,0.0008122870738498917,17,11.262351871984606,0.6624912865873298,47.05882352941176,10011.262351871981,0.11262351871981081
BTCUSDT,5m,RandomForestRegressor,3,0.8,0.00010098219007876049,5000,1000,2025-11-25 00:35:00+00:00,2025-12-12 09:10:00+00:00,2025-12-12 09:15:00+00:00,2025-12-15 20:30:00+00:00,0.001233136520393974,0.0020374052989342952,0.03237011456721692,117,-0.00048320655987349925,49.572649572649574,0.0003212650583451498,23,-76.48332396666467,-3.325361911594116,34.78260869565217,9923.516676033338,-0.7648332396666229
BTCUSDT,5m,RandomForestRegressor,3,0.9,0.00024992431397455285,5000,1000,2025-11-25 00:35:00+00:00,2025-12-12 09:10:00+00:00,2025-12-12 09:15:00+00:00,2025-12-15 20:30:00+00:00,0.001233136520393974,0.0020374052989342952,0.03237011456721692,57,-0.001028627727831366,47.368421052631575,0.00047793221659673266,17,-86.16572275132842,-5.068571926548731,23.52941176470588,9913.834277248672,-0.8616572275132784
BTCUSDT,5m,RandomForestRegressor,3,0.95,0.00041819201937965295,5000,1000,2025-11-25 00:35:00+00:00,2025-12-12 09:10:00+00:00,2025-12-12 09:15:00+00:00,2025-12-15 20:30:00+00:00,0.001233136520393974,0.0020374052989342952,0.03237011456721692,27,-0.00011320509288625923,51.85185185185185,0.0006614917579682651,7,-18.410516573299333,-2.630073796185619,28.57142857142857,9981.5894834267,-0.184105165732999
BTCUSDT,5m,RandomForestRegressor,4,0.8,-6.647210558965344e-07,5000,1000,2025-11-28 11:55:00+00:00,2025-12-15 20:30:00+00:00,2025-12-15 20:35:00+00:00,2025-12-19 07:50:00+00:00,0.002094825124919412,0.0033010872033610353,0.04289456054668252,261,0.00016766865149790095,47.89272030651341,0.00031644945842654635,49,-80.77330954807155,-1.6484348887361542,36.734693877551024,9919.226690451935,-0.807733095480653
BTCUSDT,5m,RandomForestRegressor,4,0.9,0.00010565101208318582,5000,1000,2025-11-28 11:55:00+00:00,2025-12-15 20:30:00+00:00,2025-12-15 20:35:00+00:00,2025-12-19 07:50:00+00:00,0.002094825124919412,0.0033010872033610353,0.04289456054668252,146,-4.447561889234993e-06,44.52054794520548,0.0005343040749509109,32,-68.81510729616264,-2.1504721030050824,34.375,9931.184892703839,-0.6881510729616093
BTCUSDT,5m,RandomForestRegressor,4,0.95,0.0003417644691066027,5000,1000,2025-11-28 11:55:00+00:00,2025-12-15 20:30:00+00:00,2025-12-15 20:35:00+00:00,2025-12-19 07:50:00+00:00,0.002094825124919412,0.0033010872033610353,0.04289456054668252,67,-0.00038739165697431816,38.80597014925373,0.000925790230171136,15,-39.186862483445,-2.612457498896333,26.666666666666668,9960.813137516554,-0.3918686248344602
BTCUSDT,5m,RandomForestRegressor,5,0.8,5.3418907643332586e-05,5000,1000,2025-12-01 23:15:00+00:00,2025-12-19 07:50:00+00:00,2025-12-19 07:55:00+00:00,2025-12-22 19:10:00+00:00,0.0012191487477981066,0.0018186688863560461,-0.003468046755858707,148,-7.729969896040327e-05,47.97297297297297,0.0002614283890270767,25,-37.6305441430203,-1.505221765720812,36.0,9962.369455856979,-0.37630544143021327
BTCUSDT,5m,RandomForestRegressor,5,0.9,0.00016737290113349893,5000,1000,2025-12-01 23:15:00+00:00,2025-12-19 07:50:00+00:00,2025-12-19 07:55:00+00:00,2025-12-22 19:10:00+00:00,0.0012191487477981066,0.0018186688863560461,-0.003468046755858707,72,-0.0003837792528462163,38.88888888888889,0.000433849296608959,18,-45.21241166832351,-2.511800648240195,22.22222222222222,9954.787588331676,-0.45212411668324426
BTCUSDT,5m,RandomForestRegressor,5,0.95,0.0004270467731555175,5000,1000,2025-12-01 23:15:00+00:00,2025-12-19 07:50:00+00:00,2025-12-19 07:55:00+00:00,2025-12-22 19:10:00+00:00,0.0012191487477981066,0.0018186688863560461,-0.003468046755858707,25,-0.0005544836546095799,36.0,0.0007788820368339764,9,-26.722708443963256,-2.9691898271070283,22.22222222222222,9973.27729155604,-0.2672270844396007
BTCUSDT,5m,RandomForestRegressor,6,0.8,3.9998432564817806e-05,5000,1000,2025-12-05 10:35:00+00:00,2025-12-22 19:10:00+00:00,2025-12-22 19:15:00+00:00,2025-12-26 06:30:00+00:00,0.0012209960161164242,0.0018300201633325984,-0.005716285849980547,147,0.0001975984487997159,52.38095238095239,0.00014145675173925888,38,-59.05268139958264,-1.554017931567964,31.57894736842105,9940.947318600416,-0.5905268139958388
BTCUSDT,5m,RandomForestRegressor,6,0.9,0.00011227373149503468,5000,1000,2025-12-05 10:35:00+00:00,2025-12-22 19:10:00+00:00,2025-12-22 19:15:00+00:00,2025-12-26 06:30:00+00:00,0.0012209960161164242,0.0018300201633325984,-0.005716285849980547,54,0.00019658674908750213,50.0,0.0002758979921759786,18,-10.51794053441256,-0.5843300296895867,38.88888888888889,9989.482059465588,-0.10517940534411536
BTCUSDT,5m,RandomForestRegressor,6,0.95,0.00023940795321348101,5000,1000,2025-12-05 10:35:00+00:00,2025-12-22 19:10:00+00:00,2025-12-22 19:15:00+00:00,2025-12-26 06:30:00+00:00,0.0012209960161164242,0.0018300201633325984,-0.005716285849980547,20,-4.4023715810505855e-05,40.0,0.00047378148253731327,6,-2.134398402483498,-0.355733067080583,50.0,9997.865601597516,-0.02134398402484294
BTCUSDT,5m,RandomForestRegressor,7,0.8,2.3105924068796728e-05,5000,1000,2025-12-08 21:55:00+00:00,2025-12-26 06:30:00+00:00,2025-12-26 06:35:00+00:00,2025-12-29 17:50:00+00:00,0.0009443373312008859,0.0017284888812560872,-0.07368085150965492,88,-0.0006065528631756674,60.22727272727273,0.0002568820056583883,20,-40.08353619882291,-2.0041768099411454,25.0,9959.916463801175,-0.4008353619882474
BTCUSDT,5m,RandomForestRegressor,7,0.9,0.00012655580897159976,5000,1000,2025-12-08 21:55:00+00:00,2025-12-26 06:30:00+00:00,2025-12-26 06:35:00+00:00,2025-12-29 17:50:00+00:00,0.0009443373312008859,0.0017284888812560872,-0.07368085150965492,48,-0.0012733048459745717,54.166666666666664,0.00043090862575398924,14,-39.38854347369852,-2.8134673909784658,21.428571428571427,9960.6114565263,-0.39388543473700344
BTCUSDT,5m,RandomForestRegressor,7,0.95,0.0003168958128551127,5000,1000,2025-12-08 21:55:00+00:00,2025-12-26 06:30:00+00:00,2025-12-26 06:35:00+00:00,2025-12-29 17:50:00+00:00,0.0009443373312008859,0.0017284888812560872,-0.07368085150965492,27,-0.0015859281260207775,48.148148148148145,0.0005870245584020885,11,-39.83879464384415,-3.621708603985832,27.27272727272727,9960.161205356155,-0.39838794643845177
BTCUSDT,5m,RandomForestRegressor,8,0.8,3.79523988752495e-05,5000,1000,2025-12-12 09:15:00+00:00,2025-12-29 17:50:00+00:00,2025-12-29 17:55:00+00:00,2026-01-02 05:10:00+00:00,0.0009597595977569682,0.0013944045005761258,-0.04263783361111077,206,-4.043167855773202e-05,53.398058252427184,0.00016365571584215323,43,-65.40574014382139,-1.521063724274916,25.581395348837212,9934.594259856187,-0.6540574014381308
BTCUSDT,5m,RandomForestRegressor,8,0.9,6.692614675760108e-05,5000,1000,2025-12-12 09:15:00+00:00,2025-12-29 17:50:00+00:00,2025-12-29 17:55:00+00:00,2026-01-02 05:10:00+00:00,0.0009597595977569682,0.0013944045005761258,-0.04263783361111077,109,-0.00021289582744301499,47.706422018348626,0.0002644310985877286,26,-46.53569347476241,-1.789834364413939,26.923076923076923,9953.464306525242,-0.46535693474757867
BTCUSDT,5m,RandomForestRegressor,8,0.95,0.0001267864333981849,5000,1000,2025-12-12 09:15:00+00:00,2025-12-29 17:50:00+00:00,2025-12-29 17:55:00+00:00,2026-01-02 05:10:00+00:00,0.0009597595977569682,0.0013944045005761258,-0.04263783361111077,67,-0.0007023365888653381,38.80597014925373,0.0003738039758959949,17,-40.097446260044876,-2.3586733094144043,5.88235294117647,9959.902553739958,-0.4009744626004249
BTCUSDT,5m,RandomForestRegressor,9,0.8,7.779395087959158e-05,5000,1000,2025-12-15 20:35:00+00:00,2026-01-02 05:10:00+00:00,2026-01-02 05:15:00+00:00,2026-01-05 16:30:00+00:00,0.0011340744208202021,0.0016777164977854384,0.12564099942574714,140,0.0006022586897937128,54.285714285714285,0.00021047161912328912,41,-18.38776112358596,-0.4484819786240478,41.46341463414634,9981.612238876414,-0.18387761123585733
BTCUSDT,5m,RandomForestRegressor,9,0.9,0.00013633237642875234,5000,1000,2025-12-15 20:35:00+00:00,2026-01-02 05:10:00+00:00,2026-01-02 05:15:00+00:00,2026-01-05 16:30:00+00:00,0.0011340744208202021,0.0016777164977854384,0.12564099942574714,68,0.0010578156837116022,52.94117647058824,0.00033199804069460027,21,-6.023738665748738,-0.2868446983689875,38.095238095238095,9993.976261334248,-0.06023738665751808
BTCUSDT,5m,RandomForestRegressor,9,0.95,0.0002371241824190905,5000,1000,2025-12-15 20:35:00+00:00,2026-01-02 05:10:00+00:00,2026-01-02 05:15:00+00:00,2026-01-05 16:30:00+00:00,0.0011340744208202021,0.0016777164977854384,0.12564099942574714,43,0.001121548667769265,58.139534883720934,0.00041570234108802864,15,8.399147999675847,0.5599431999783898,46.666666666666664,10008.399147999675,0.08399147999674825
BTCUSDT,5m,RandomForestRegressor,10,0.8,4.83791125431898e-05,5000,1000,2025-12-19 07:55:00+00:00,2026-01-05 16:30:00+00:00,2026-01-05 16:35:00+00:00,2026-01-09 03:50:00+00:00,0.0014426727162165922,0.00198751011306066,0.039936344854926836,374,2.6359725208494168e-05,52.406417112299465,0.00023579199684846004,60,-98.80784939717262,-1.646797489952877,35.0,9901.192150602825,-0.9880784939717523
BTCUSDT,5m,RandomForestRegressor,10,0.9,0.00014142674324613735,5000,1000,2025-12-19 07:55:00+00:00,2026-01-05 16:30:00+00:00,2026-01-05 16:35:00+00:00,2026-01-09 03:50:00+00:00,0.0014426727162165922,0.00198751011306066,0.039936344854926836,199,1.9217814579910512e-05,50.753768844221106,0.0003713264943630647,40,-67.80881079867186,-1.6952202699667964,35.0,9932.191189201332,-0.6780881079866776
BTCUSDT,5m,RandomForestRegressor,10,0.95,0.0002700328701880161,5000,1000,2025-12-19 07:55:00+00:00,2026-01-05 16:30:00+00:00,2026-01-05 16:35:00+00:00,2026-01-09 03:50:00+00:00,0.0014426727162165922,0.00198751011306066,0.039936344854926836,103,-3.824519940943121e-05,51.45631067961165,0.0005455284229422196,30,-55.53477504725845,-1.8511591682419484,36.666666666666664,9944.465224952743,-0.5553477504725742
BTCUSDT,5m,RandomForestRegressor,11,0.8,1.7787261621474092e-05,5000,1000,2025-12-22 19:15:00+00:00,2026-01-09 03:50:00+00:00,2026-01-09 03:55:00+00:00,2026-01-12 15:10:00+00:00,0.0010120507504067348,0.0017571014952326837,0.035825025587942,203,0.0001727410715519161,52.70935960591133,0.0002386361020788515,37,-37.03271214387064,-1.0008841119965037,32.432432432432435,9962.967287856129,-0.3703271214387132
BTCUSDT,5m,RandomForestRegressor,11,0.9,0.00017797770366200346,5000,1000,2025-12-22 19:15:00+00:00,2026-01-09 03:50:00+00:00,2026-01-09 03:55:00+00:00,2026-01-12 15:10:00+00:00,0.0010120507504067348,0.0017571014952326837,0.035825025587942,113,1.3008310979125827e-05,53.98230088495575,0.00038196936570318335,20,-12.7546771533016,-0.63773385766508,40.0,9987.245322846702,-0.12754677153297964
BTCUSDT,5m,RandomForestRegressor,11,0.95,0.0003324747378256875,5000,1000,2025-12-22 19:15:00+00:00,2026-01-09 03:50:00+00:00,2026-01-09 03:55:00+00:00,2026-01-12 15:10:00+00:00,0.0010120507504067348,0.0017571014952326837,0.035825025587942,51,-9.307466846903136e-05,50.98039215686274,0.000513965057977762,16,-17.18981352154117,-1.074363345096323,31.25,9982.810186478462,-0.17189813521537872
BTCUSDT,5m,RandomForestRegressor,12,0.8,2.0179319259528974e-05,5000,1000,2025-12-26 06:35:00+00:00,2026-01-12 15:10:00+00:00,2026-01-12 15:15:00+00:00,2026-01-16 02:30:00+00:00,0.0015677199756885425,0.002212739165247729,0.1062124447116486,349,0.0004769474426788616,56.446991404011456,0.0002563461952561729,57,1.4813754293065813,0.025989042619413708,43.859649122807014,10001.481375429299,0.01481375429299078
BTCUSDT,5m,RandomForestRegressor,12,0.9,0.00016706888334702084,5000,1000,2025-12-26 06:35:00+00:00,2026-01-12 15:10:00+00:00,2026-01-12 15:15:00+00:00,2026-01-16 02:30:00+00:00,0.0015677199756885425,0.002212739165247729,0.1062124447116486,157,0.0005625200111161314,56.68789808917197,0.0004712906317586997,38,-36.400680247529294,-0.9579126380928762,36.84210526315789,9963.599319752464,-0.36400680247536
BTCUSDT,5m,RandomForestRegressor,12,0.95,0.0003112868542973043,5000,1000,2025-12-26 06:35:00+00:00,2026-01-12 15:10:00+00:00,2026-01-12 15:15:00+00:00,2026-01-16 02:30:00+00:00,0.0015677199756885425,0.002212739165247729,0.1062124447116486,87,0.000971604690620636,62.06896551724138,0.0006727865626999907,32,-37.363355261373954,-1.167604851917936,40.625,9962.63664473862,-0.37363355261379183
BTCUSDT,5m,RandomForestRegressor,13,0.8,0.00011221141785347663,5000,1000,2025-12-29 17:55:00+00:00,2026-01-16 02:30:00+00:00,2026-01-16 02:35:00+00:00,2026-01-19 13:50:00+00:00,0.000807588860786418,0.0013930603563370155,-0.17776664981457274,93,-0.0007361438074654907,50.53763440860215,0.0005382990203744886,24,-45.12468318601066,-1.880195132750444,29.166666666666668,9954.875316813988,-0.4512468318601168
BTCUSDT,5m,RandomForestRegressor,13,0.9,0.0003505893595852645,5000,1000,2025-12-29 17:55:00+00:00,2026-01-16 02:30:00+00:00,2026-01-16 02:35:00+00:00,2026-01-19 13:50:00+00:00,0.000807588860786418,0.0013930603563370155,-0.17776664981457274,42,-0.0015697721901527365,38.095238095238095,0.0009567520722709609,11,-37.6166912160935,-3.4196992014630454,27.27272727272727,9962.383308783907,-0.37616691216093384
BTCUSDT,5m,RandomForestRegressor,13,0.95,0.0006780613199284767,5000,1000,2025-12-29 17:55:00+00:00,2026-01-16 02:30:00+00:00,2026-01-16 02:35:00+00:00,2026-01-19 13:50:00+00:00,0.000807588860786418,0.0013930603563370155,-0.17776664981457274,27,-0.0018360262774727446,33.33333333333333,0.001231589242501074,4,-37.04436214701434,-9.261090536753585,25.0,9962.955637852987,-0.3704436214701309
BTCUSDT,5m,RandomForestRegressor,14,0.8,9.820180745055555e-05,5000,1000,2026-01-02 05:15:00+00:00,2026-01-19 13:50:00+00:00,2026-01-19 13:55:00+00:00,2026-01-23 01:10:00+00:00,0.001618692984210568,0.002445513658495783,-0.012736082001687432,264,7.049450791932709e-05,50.75757575757576,0.00043106314233431716,49,-103.14768645615789,-2.105054825635875,24.489795918367346,9896.85231354384,-1.0314768645615913
BTCUSDT,5m,RandomForestRegressor,14,0.9,0.00025964368750036913,5000,1000,2026-01-02 05:15:00+00:00,2026-01-19 13:50:00+00:00,2026-01-19 13:55:00+00:00,2026-01-23 01:10:00+00:00,0.001618692984210568,0.002445513658495783,-0.012736082001687432,152,-7.443690868328431e-05,48.68421052631579,0.00062343347763601,37,-35.92542139202237,-0.9709573349195235,35.13513513513514,9964.074578607979,-0.35925421392021234
BTCUSDT,5m,RandomForestRegressor,14,0.95,0.0005207673718636927,5000,1000,2026-01-02 05:15:00+00:00,2026-01-19 13:50:00+00:00,2026-01-19 13:55:00+00:00,2026-01-23 01:10:00+00:00,0.001618692984210568,0.002445513658495783,-0.012736082001687432,80,-0.0002113670498445893,48.75,0.0008488223678941278,27,-42.72410715978117,-1.5823743392511544,33.33333333333333,9957.275892840225,-0.42724107159774577
BTCUSDT,5m,RandomForestRegressor,15,0.8,7.008152937649243e-05,5000,1000,2026-01-05 16:35:00+00:00,2026-01-23 01:10:00+00:00,2026-01-23 01:15:00+00:00,2026-01-26 12:30:00+00:00,0.0010805163169677577,0.0017076781473309,0.039590581545173475,176,0.0002169029936429853,56.25,0.00034753266126079667,37,-19.976842531684383,-0.5399146630184969,35.13513513513514,9980.023157468311,-0.19976842531688818
BTCUSDT,5m,RandomForestRegressor,15,0.9,0.00021072351572990836,5000,1000,2026-01-05 16:35:00+00:00,2026-01-23 01:10:00+00:00,2026-01-23 01:15:00+00:00,2026-01-26 12:30:00+00:00,0.0010805163169677577,0.0017076781473309,0.039590581545173475,88,0.0001445913750189357,53.40909090909091,0.0005613503943063129,23,-16.711222838735694,-0.7265749060319867,39.130434782608695,9983.288777161266,-0.16711222838734102
BTCUSDT,5m,RandomForestRegressor,15,0.95,0.0003768351388572948,5000,1000,2026-01-05 16:35:00+00:00,2026-01-23 01:10:00+00:00,2026-01-23 01:15:00+00:00,2026-01-26 12:30:00+00:00,0.0010805163169677577,0.0017076781473309,0.039590581545173475,50,-0.0001412072310843972,40.0,0.000768063537204763,12,8.387980027319259,0.6989983356099382,50.0,10008.387980027317,0.08387980027317099
